room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4707270,23339306,Entire home/apt,,24,11,4.5,4,2.0,134.0,,56.154685,10.208262,2017-03-30 22:19:28.157331
1155348,4554668,Entire home/apt,,24,8,5.0,2,1.0,142.0,,56.170263,10.214827,2017-03-30 22:19:28.152719
7469970,6907373,Entire home/apt,,24,2,0.0,4,1.0,127.0,,56.162022,10.21545,2017-03-30 22:19:28.135693
1158160,6346463,Entire home/apt,,5,18,4.0,7,4.0,134.0,,56.207012,10.245287,2017-03-30 22:19:28.099002
6246682,32434221,Entire home/apt,,24,0,0.0,6,3.0,127.0,,56.144985,10.200533,2017-03-30 22:19:26.463479
16444085,26174003,Entire home/apt,,24,0,0.0,2,1.0,134.0,,56.14857,10.209321,2017-03-30 22:19:26.460559
8871579,8987536,Entire home/apt,,24,0,0.0,4,2.0,134.0,,56.159663,10.207298,2017-03-30 22:19:26.455812
15128450,94636596,Entire home/apt,,24,7,4.5,4,2.0,142.0,,56.158755,10.210709,2017-03-30 22:19:26.452529
6663872,22612331,Entire home/apt,,24,10,5.0,5,1.0,141.0,,56.156141,10.202463,2017-03-30 22:19:26.449675
1036297,5419871,Entire home/apt,,3,20,5.0,10,4.0,142.0,,56.166655,10.16992,2017-03-30 22:19:26.446907
7304599,37863791,Entire home/apt,,24,0,0.0,5,2.0,134.0,,56.155586,10.204245,2017-03-30 22:19:26.442685
4959695,10006191,Entire home/apt,,5,0,0.0,4,2.0,134.0,,56.201195,10.210929,2017-03-30 22:19:26.439671
3505083,9170656,Entire home/apt,,24,17,5.0,8,3.0,142.0,,56.160526,10.204828,2017-03-30 22:19:26.436625
700729,2005323,Entire home/apt,,24,2,0.0,3,2.0,134.0,,56.172721,10.212193,2017-03-30 22:19:26.434031
5473776,20524611,Entire home/apt,,5,5,4.5,6,3.0,127.0,,56.184144,10.216664,2017-03-30 22:19:26.427618
11877419,30689719,Entire home/apt,,3,2,0.0,5,3.0,131.0,,56.165412,10.16248,2017-03-30 22:19:26.424953
3206035,15270782,Entire home/apt,,24,29,5.0,6,2.0,134.0,,56.162039,10.204436,2017-03-30 22:19:26.418714
6977526,36590170,Entire home/apt,,24,28,4.5,6,3.0,142.0,,56.161311,10.197016,2017-03-30 22:19:26.415686
16927964,113085363,Entire home/apt,,24,0,0.0,2,1.0,144.0,,56.158845,10.206157,2017-03-30 22:19:26.413236
3307282,16701426,Entire home/apt,,5,4,4.5,4,2.0,142.0,,56.207185,10.247142,2017-03-30 22:19:26.409261
16893268,112709239,Entire home/apt,,24,0,0.0,4,2.0,142.0,,56.162072,10.202269,2017-03-30 22:19:26.406464
